Image,SquareIndex,ObjectInSquare,Area_px,Area_mm2,Scale,X,Y
P1012178.JPG,1,1,5546,29.3769,0.07278,746.0487,790.4214
P1012178.JPG,2,1,2856,15.1281,0.07278,703.5228,748.1936
P1012178.JPG,3,1,2431,12.8769,0.07278,628.5633,558.7505
P1012178.JPG,4,1,2971,15.7372,0.07278,473.4438,721.3273
P1012178.JPG,5,1,2554,13.5284,0.07278,650.0439,698.6347
P1012179.JPG,1,1,5969,31.6175,0.07278,773.2474,765.6504
P1012179.JPG,2,1,8163,43.239,0.07278,726.8316,801.1744
P1012179.JPG,3,1,6772,35.8709,0.07278,663.6593,574.4417
P1012179.JPG,6,1,2092,11.0812,0.07278,698.9379,627.7921
P1012179.JPG,5,1,6644,35.1929,0.07278,582.907,724.1486
P1012179.JPG,4,1,3680,19.4928,0.07278,717.9443,606.0193
P1012180.JPG,1,1,7281,38.5671,0.07278,1001.9013,761.5199
P1012180.JPG,2,1,6671,35.3359,0.07278,723.5294,619.7896
P1012180.JPG,3,1,6906,36.5807,0.07278,1074.8989,703.7841
P1012180.JPG,5,1,5426,28.7412,0.07278,708.2274,639.8175
P1012180.JPG,6,1,5745,30.431,0.07278,585.3082,659.6201
P1012180.JPG,4,1,7113,37.6772,0.07278,814.1506,814.2519
P1012181.JPG,1,1,6724,35.6167,0.07278,950.916,527.0672
P1012181.JPG,2,1,7311,38.726,0.07278,769.6438,844.256
P1012181.JPG,3,1,7606,40.2886,0.07278,832.0719,712.1075
P1012181.JPG,5,1,8510,45.077,0.07278,749.4508,585.8204
P1012181.JPG,6,1,7819,41.4168,0.07278,676.1347,903.241
P1012181.JPG,4,1,6661,35.283,0.07278,785.498,803.9857
P1012182.JPG,2,1,5640,29.8748,0.07278,401.6574,453.0456
P1012182.JPG,1,1,3529,18.6929,0.07278,613.8205,1075.8168
P1012182.JPG,3,1,5529,29.2868,0.07278,496.2292,732.8914
P1012182.JPG,6,1,6228,32.9894,0.07278,700.7612,583.6423
P1012182.JPG,5,1,4169,22.083,0.07278,681.3793,891.8795
P1012182.JPG,4,1,4781,25.3247,0.07278,780.769,553.5134
P1012183.JPG,1,1,1776,9.4074,0.07278,467.3181,660.1959
P1012183.JPG,2,1,4990,26.4318,0.07278,791.6848,653.1806
P1012184.JPG,1,1,5935,31.4374,0.07278,580.8372,680.3765
P1012184.JPG,2,1,6047,32.0306,0.07278,660.6239,406.688
P1012184.JPG,3,1,5841,30.9395,0.07278,618.1672,844.5197
P1012184.JPG,4,1,6370,33.7416,0.07278,546.0892,585.7455
P1012185.JPG,2,1,2605,13.7985,0.07278,640.4923,675.7038
P1012185.JPG,1,1,7022,37.1952,0.07278,642.6433,608.9792
P1012185.JPG,3,1,2074,10.9859,0.07278,717.0169,684.8423
P1012185.JPG,6,1,2297,12.1671,0.07278,412.0303,679.9745
P1012185.JPG,5,1,2096,11.1024,0.07278,588.719,707.2562
