Image,SquareIndex,ObjectInSquare,Area_px,Area_mm2,Scale,X,Y
P1012168.JPG,1,1,2614,13.726,0.07246,668.4591,767.2391
P1012168.JPG,2,1,2324,12.2032,0.07246,733.8219,747.324
P1012168.JPG,3,1,2238,11.7516,0.07246,712.0237,500.0773
P1012168.JPG,6,1,3159,16.5878,0.07246,522.4224,567.0571
P1012168.JPG,5,1,4465,23.4455,0.07246,857.5947,638.7647
P1012168.JPG,4,1,3365,17.6695,0.07246,759.5042,621.8132
P1012169.JPG,1,1,3474,18.2418,0.07246,780.2714,866.0227
P1012169.JPG,2,1,3288,17.2651,0.07246,637.3881,587.6116
P1012169.JPG,3,1,2314,12.1507,0.07246,559.2424,776.1132
P1012169.JPG,6,1,4773,25.0628,0.07246,733.2901,606.4087
P1012169.JPG,5,1,2677,14.0568,0.07246,642.4989,567.6016
P1012169.JPG,4,1,3718,19.523,0.07246,583.6837,876.9521
P1012170.JPG,1,1,2465,12.9436,0.07246,721.3523,736.8988
P1012170.JPG,2,1,1707,8.9634,0.07246,566.6054,715.9165
P1012170.JPG,3,1,3444,18.0843,0.07246,730.6998,677.9805
P1012170.JPG,6,1,3342,17.5487,0.07246,727.9318,758.0826
P1012170.JPG,5,1,2924,15.3538,0.07246,685.0817,623.0964
P1012170.JPG,4,1,3623,19.0242,0.07246,662.0702,710.6858
P1012171.JPG,1,1,4717,24.7687,0.07246,624.4197,866.6662
P1012171.JPG,3,1,5684,29.8464,0.07246,500.7164,776.0359
P1012171.JPG,6,1,5998,31.4952,0.07246,811.2427,524.7763
P1012171.JPG,5,1,5417,28.4444,0.07246,574.3638,907.6532
P1012171.JPG,4,1,4390,23.0517,0.07246,813.4708,784.9123
P1012172.JPG,1,1,5628,29.5524,0.07246,487.5595,575.5697
P1012172.JPG,2,1,3158,16.5825,0.07246,390.6235,427.9649
P1012172.JPG,3,1,1398,7.3408,0.07246,854.8398,777.1116
P1012172.JPG,6,1,3520,18.4834,0.07246,990.8804,570.1469
P1012172.JPG,5,1,4582,24.0599,0.07246,826.9823,633.2855
P1012172.JPG,4,1,4742,24.9,0.07246,805.6852,760.5487
P1012173.JPG,1,1,6724,35.3074,0.07246,759.2866,580.0703
P1012173.JPG,2,1,6419,33.7059,0.07246,847.5914,786.982
P1012173.JPG,3,1,4497,23.6135,0.07246,735.2076,767.2465
P1012173.JPG,6,1,5569,29.2426,0.07246,688.9784,750.3655
P1012173.JPG,5,1,6892,36.1896,0.07246,640.8254,738.9111
P1012173.JPG,4,1,5940,31.1907,0.07246,667.2971,644.9906
P1012174.JPG,1,1,1106,5.8076,0.07246,770.8562,879.0796
P1012174.JPG,2,1,1569,8.2387,0.07246,766.5497,739.2387
P1012174.JPG,3,1,3292,17.2861,0.07246,592.0437,669.5398
P1012174.JPG,4,1,2012,10.5649,0.07246,753.6864,756.4051
P1012175.JPG,1,1,2206,11.5836,0.07246,801.3518,720.9773
P1012175.JPG,2,1,1860,9.7668,0.07246,746.0161,815.3113
P1012175.JPG,3,1,2122,11.1425,0.07246,532.2234,524.1602
P1012175.JPG,4,1,2927,15.3695,0.07246,642.2574,824.1573
